"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
11446443,1.01,"Kepler-1 b",2.470613377,122.763305,0.072632916666667,0.2676,0.3928,0.964,0.038,-0.038,0.971,0.062,-0.056
11904151,72.01,"Kepler-10 b",0.837491225,131.574858,0.074833333333333,0.2676,0.3928,1.044,0.057,-0.042,0.884,0.069,-0.042
11904151,72.02,"Kepler-10 c",45.29422297,138.678725,0.284583333333333,0.2676,0.3928,1.044,0.057,-0.042,0.884,0.069,-0.042
6521045,41.02,"Kepler-100 b",6.88707073,133.17797,0.1861625,0.2638,0.4046,1.474,0.094,-0.079,1.05,0.126,-0.068
6521045,41.01,"Kepler-100 c",12.81590421,122.94682,0.266066666666667,0.2638,0.4046,1.474,0.094,-0.079,1.05,0.126,-0.068
6521045,41.03,"Kepler-100 d",35.3331932,153.98249,0.248583333333333,0.2638,0.4046,1.474,0.094,-0.079,1.05,0.126,-0.068
10063802,1888.01,"Kepler-1000 b",120.0183551,134.18742,0.484875,0.3206,0.3146,1.467,0.24,-0.111,1.406,0.086,-0.086
11074178,1889.01,"Kepler-1001 b",14.30517579,135.06301,0.188958333333333,0.2711,0.3858,0.846,0.236,-0.079,0.938,0.098,-0.109
7449136,1890.01,"Kepler-1002 b",4.33643506,133.85442,0.1726875,0.3052,0.3236,1.603,0.057,-0.082,1.275,0.064,-0.128
8689793,1893.01,"Kepler-1003 b",3.554856338,131.80398,0.087516666666667,0.2979,0.3238,0.831,0.24,-0.06,0.931,0.089,-0.119
11673802,1894.01,"Kepler-1004 b",5.28790754,135.36119,0.355308333333333,0.1611,0.5645,3.818,0.185,-0.517,1.441,0.121,-0.338
7668663,1898.01,"Kepler-1005 b",6.4980147,136.00108,0.1016,0.2622,0.4035,1.104,0.164,-0.164,0.946,0.072,-0.057
7047922,1899.01,"Kepler-1006 b",19.76169247,135.17794,0.162904166666667,0.302,0.319,1.175,0.389,-0.259,1.064,0.212,-0.173
9353314,1900.01,"Kepler-1007 b",5.18498961,131.8814,0.089154166666667,0.1496,0.5738,0.56,0.045,-0.056,0.547,0.056,-0.038
8766650,1904.01,"Kepler-1008 b",12.43929428,136.37952,0.132333333333333,0.1611,0.5575,0.773,0.036,-0.053,0.742,0.06,-0.028
7094486,1907.01,"Kepler-1009 b",11.35010642,134.04612,0.094966666666667,0.2417,0.505,0.514,0.026,-0.051,0.522,0.031,-0.046
10905239,46.01,"Kepler-101 b",3.487688776,170.932217,0.15985875,0.2245,0.4725,1.593,0.235,-0.382,1.074,0.108,-0.097
10905239,46.02,"Kepler-101 c",6.02977241,132.48162,0.165041666666667,0.2245,0.4725,1.593,0.235,-0.382,1.074,0.108,-0.097
8226050,1910.01,"Kepler-1010 b",34.2685741,147.05143,0.201045833333333,0.1451,0.582,0.872,0.042,-0.072,0.815,0.053,-0.028
9965957,1911.01,"Kepler-1011 b",5.75321539,136.75617,0.074783333333333,0.2111,0.4955,0.929,0.229,-0.076,1.017,0.074,-0.101
9704384,1913.01,"Kepler-1012 b",5.50860699,132.2983,0.128283333333333,0.2327,0.4526,0.883,0.092,-0.067,0.877,0.055,-0.05
8426567,1914.01,"Kepler-1013 b",18.93055119,143.25058,0.1405,0.1466,0.5849,1.643,0.837,-0.067,0.955,0.174,-0.127
8218379,1920.01,"Kepler-1014 b",16.57099265,133.90704,0.12105,0.2434,0.4341,0.779,0.164,-0.059,0.865,0.083,-0.102
7755636,1921.01,"Kepler-1015 b",16.00496657,135.25305,0.271029166666667,0.3168,0.2958,1.904,0.388,-0.534,1.412,0.134,-0.201
9411166,1922.01,"Kepler-1016 b",1.954525966,132.29679,0.087266666666667,0.2555,0.4191,1.136,0.18,-0.147,1.01,0.073,-0.061
9411166,1922.03,"Kepler-1016 c",105.6552651,230.09865,0.39125,0.2555,0.4191,1.136,0.18,-0.147,1.01,0.073,-0.061
4989057,1923.01,"Kepler-1017 b",7.23400381,137.67742,0.090208333333333,0.2327,0.4526,0.85,0.091,-0.045,0.879,0.049,-0.054
9072190,1933.01,"Kepler-1018 b",49.1011093,136.47265,0.264208333333333,0.224,0.4695,1.11,0.261,-0.189,0.895,0.063,-0.037
10190777,1937.01,"Kepler-1019 b",1.411230023,132.641925,0.0596875,0.0628,0.6908,0.737,0.02,-0.043,0.726,0.039,-0.027
10187017,82.05,"Kepler-102 b",5.28691996,135.85427,0.107458333333333,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
10187017,82.04,"Kepler-102 c",7.07136119,139.98763,0.114875,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
10187017,82.02,"Kepler-102 d",10.31174786,134.07991,0.132575,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
